label	r2	pvalue	MRCA
ST10	0.0147135702488743	2e-04	1454.54121489091
ST11	0.0370290451896891	0	1749.99608914062
ST16	0.103861617022351	1e-04	1885.45722625602
ST21	0.0961142542836766	0	1790.93300300094
ST29	0.179008759293924	0	1790.15538301665
ST32	0.209873648025403	0	1967.48713999241
ST38	0.183524173222527	0	1938.92577751657
ST48	0.0489995804649125	0.0045	1753.74151179449
ST58	0.0837523557017046	0	1798.43059483052
ST69	0.326744950039864	0	1926.54830662423
ST73	0.0738006423994853	0	1723.54867908782
ST88	0.137461665620065	0	1770.28898818149
ST95	0.0788360555830838	0	1790.92391308585
ST101	0.269072092645345	0	1914.59674036789
ST117	0.140408699239567	0	1889.19378899991
ST127	0.104563201342286	0	1612.56390449558
ST131	0.0873612180732065	0	1858.15868053565
ST155	0.0749810923099402	1e-04	1827.78612677159
ST156	0.146346508072838	0	1912.7588834904
ST167	0.342393704595265	0	1988.59671132162
ST405	0.22601524616233	0	1860.37603299317
ST410	0.545169695502304	0	1945.56866122914
ST648	0.0741654687692095	5e-04	1865.21305545703
ST655	0.105855286262295	7e-04	1836.48159751674
ST2332	0.416651500318111	0	1969.64326519105
