label	Sample collection date	Sample collection date decimal
Coli_000144	2014-07-01	2014.495890410959
Coli_000145	2014-07-01	2014.495890410959
Coli_000146	2014-07-01	2014.495890410959
Coli_000147	2014-07-01	2014.495890410959
Coli_000148	2014-07-01	2014.495890410959
Coli_000149	2014-07-01	2014.495890410959
Coli_000150	2014-07-01	2014.495890410959
Coli_000151	2014-07-01	2014.495890410959
Coli_000152	2014-07-01	2014.495890410959
Coli_000153	2014-07-01	2014.495890410959
Coli_000154	2014-07-01	2014.495890410959
Coli_000155	2014-07-01	2014.495890410959
Coli_000156	2015-07-01	2015.495890410959
Coli_000157	2015-07-01	2015.495890410959
Coli_000158	2015-07-01	2015.495890410959
Coli_000159	2015-07-01	2015.495890410959
Coli_000160	2015-07-01	2015.495890410959
Coli_000161	2014-07-01	2014.495890410959
Coli_000162	2014-07-01	2014.495890410959
Coli_000163	2014-07-01	2014.495890410959
Coli_000164	2014-07-01	2014.495890410959
Coli_000165	2014-07-01	2014.495890410959
Coli_000166	2015-07-01	2015.495890410959
Coli_000167	2014-07-01	2014.495890410959
Coli_000168	2014-07-01	2014.495890410959
Coli_000169	2015-07-01	2015.495890410959
Coli_000170	2015-07-01	2015.495890410959
Coli_000171	2015-07-01	2015.495890410959
Coli_000172	2015-07-01	2015.495890410959
Coli_000173	2001-07-01	2001.495890410959
Coli_000174	2013-07-01	2013.495890410959
Coli_000175	2013-07-01	2013.495890410959
Coli_000176	2013-07-01	2013.495890410959
Coli_000177	2013-07-01	2013.495890410959
Coli_000178	2013-07-01	2013.495890410959
Coli_000179	2013-07-01	2013.495890410959
Coli_000180	1989-07-01	1989.495890410959
Coli_000181	1996-07-01	1996.4972677595629
Coli_000182	1991-07-01	1991.495890410959
Coli_000183	1991-07-01	1991.495890410959
Coli_000184	1991-07-01	1991.495890410959
Coli_000185	1991-07-01	1991.495890410959
Coli_000186	1991-07-01	1991.495890410959
Coli_000187	1991-07-01	1991.495890410959
Coli_000188	1991-07-01	1991.495890410959
Coli_000189	1991-07-01	1991.495890410959
Coli_000190	1991-07-01	1991.495890410959
Coli_000191	1991-07-01	1991.495890410959
Coli_000192	1991-07-01	1991.495890410959
Coli_000193	1991-07-01	1991.495890410959
Coli_000194	1991-07-01	1991.495890410959
Coli_000195	1991-07-01	1991.495890410959
Coli_000196	1991-07-01	1991.495890410959
Coli_000197	1961-07-01	1961.495890410959
Coli_000198	1997-07-01	1997.495890410959
