label	r2	pvalue	MRCA
ST16	0.203696727801767	0	1901.36168738589
ST32	0.286284877543486	0	1968.6773006177
ST38	0.27427066984204	0	1920.41377181527
ST69	0.399264989758362	0	1935.94992848119
ST101	0.239137930389959	0	1908.92997149499
ST117	0.200545457702652	0	1913.05514567325
ST127	0.114585872256407	0	1726.93737266458
ST155	0.165166568850662	0	1881.25359338226
ST156	0.578939728503393	0	1965.82890980435
ST167	0.467794268607189	0	1991.2124386128
ST405	0.208123605720957	0	1876.89000282465
ST410	0.716599993580969	0	1953.27009956698
ST648	0.119788441963552	0	1926.32743887104
ST2332	0.546313630697679	0	1978.73478551471
