label	r2	pvalue	MRCA
ST16	0.21969176094447	0	1910.09556610534
ST32	0.28931413888916	0	1956.07236219326
ST38	0.282426531049221	0	1919.14482953622
ST69	0.363349480190393	0	1935.40411748444
ST101	0.252070619290502	0	1910.55583605803
ST117	0.281074190746585	0	1919.73852400967
ST127	0.111574176854243	1e-04	1694.59344278621
ST155	0.178672547893077	0	1882.50092877501
ST156	0.689726311929182	0	1968.44711389196
ST167	0.508433311621942	0	1989.90662691959
ST405	0.21555681372594	0	1939.65562386288
ST410	0.808428560779389	0	1970.01626278307
ST648	0.119788441963552	1e-04	1926.32743887104
ST2332	0.546313630697679	0	1978.73478551471
