label	r2	pvalue	MRCA
ST11	0.0701780502564779	0	1635.43804282604
ST16	0.100564892294743	1e-04	1392.74172414821
ST21	0.114428818310771	0	1812.36504403722
ST29	0.129656097824321	0	1672.63771448512
ST32	0.0800402541526958	0	1977.92696690962
ST38	0.0227234489587231	0.0019	1885.50966396475
ST48	0.0579936620661732	0.0039	1879.34436805829
ST58	0.0435702693723348	6e-04	1560.16256805546
ST69	0.261677228074676	0	1929.37289794798
ST73	0.0426291343091155	0	1715.28235372748
ST88	0.107160792622976	0	1768.55360053178
ST95	0.073780507030338	0	1728.7812200413
ST101	0.240233121904611	0	1909.2645883345
ST117	0.187899661802387	0	1910.86673278461
ST127	0.0990294900280743	1e-04	1528.29463632399
ST131	0.0602979521749653	0	1854.57978140971
ST155	0.113148857442332	0	1872.53158254627
ST156	0.0685755091885544	3e-04	1963.17450120688
ST167	0.158231437240764	0	1945.35642557426
ST405	0.204403720191931	0	1880.92162268737
ST410	0.43852555886427	0	1884.16240415932
ST648	0.249194344586987	0	1941.2210987839
ST655	0.179572524991436	2e-04	1301.79081861749
ST2332	0.0956466884477884	0	1989.64749154155
