label	r2	pvalue	MRCA
ST11	0.0558884949634288	0	1945.76701127032
ST16	0.20372347162084	0	1898.93596509975
ST21	0.13383400601139	0	1831.25032940066
ST29	0.163661070656277	0	1808.21933092952
ST32	0.291126504611943	0	1959.05185767406
ST38	0.27427066984204	0	1920.41377181527
ST48	0.0838794189651912	0.0092	1784.85752971177
ST58	0.114209205974834	0	1766.43448059512
ST69	0.469755690080789	0	1954.47327717402
ST73	0.0597717305439662	0	1553.88820158109
ST88	0.118402940910459	5e-04	1744.08541347607
ST95	0.113825400259083	0	1806.25746012912
ST101	0.226867360776057	0	1922.20179267892
ST117	0.420173288305133	0	1945.87233819984
ST127	0.398304165475748	0	1942.17744519261
ST131	0.0845658198257539	0	1915.61163431678
ST155	0.202060675370977	0	1888.84663199572
ST156	0.607245656666554	0	1966.6851191796
ST167	0.516950139009431	0	1990.61080031872
ST405	0.215556810873072	0	1939.6556230053
ST410	0.759089174625564	0	1940.51648591875
ST648	0.334259159241516	0	1943.51814039885
ST655	0.105248801652991	0.0037	1914.3335238301
ST2332	0.537898610291265	0	1979.18405975207
